mutation_id,seed_id,family,order,source_seed_path,mutant_path,mutation_category,mutation_subtype,operator_id,operator_origin,quantum_specific,equivalent_candidate,bug_description,testing_relevance,expected_effect,difficulty,likely_killable_by,primary_site,secondary_sites
BELL_M011,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m011.py,A_gate_level_quantum_bugs,reversed_control_target,QCR_REVERSE_CONTROL,quantum-specific,True,False,Reverse the CX control/target relationship.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
BELL_M012,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m012.py,A_gate_level_quantum_bugs,gate_deletion,QCR_DELETE_ENTANGLER,quantum-specific,True,False,Delete the CX entangling gate.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
BELL_M013,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m013.py,A_gate_level_quantum_bugs,controlled_gate_replacement,QCR_SWAP_FOR_CONTROLLED,quantum-specific,True,False,Replace CX with SWAP.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
BELL_M014,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m014.py,A_gate_level_quantum_bugs,extra_gate_insertion,QCR_DUPLICATE_ENTANGLER,quantum-specific,True,False,Apply the CX gate twice.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
BELL_M015,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m015.py,C_measurement_bugs,measurement_omission,MEAS_DELETE,quantum-specific,True,False,Omit the measurement of qubit 0.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_measure_0,
BELL_M016,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m016.py,C_measurement_bugs,wrong_classical_bit,MEAS_WRONG_CBIT,quantum-specific,True,False,Measure qubit 0 into the wrong classical bit.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,wrong distribution,medium,unit tests|statistical output tests|equivalence checks,bell_measure_0,
BELL_M017,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m017.py,C_measurement_bugs,premature_measurement,MEAS_PREMATURE,quantum-specific,True,False,"Measure qubit 0 and immediately apply Z, collapsing the state early.",Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,degraded fidelity,medium,unit tests|statistical output tests|equivalence checks,bell_measure_0,
BELL_M018,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m018.py,C_measurement_bugs,mapping_reorder,MEAS_DUPLICATE,quantum-specific,True,False,Measure qubit 0 twice into the same classical bit.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,runtime failure,medium,unit tests|statistical output tests|equivalence checks,bell_measure_0,
BELL_M019,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m019.py,C_measurement_bugs,mapping_reorder,MEAS_SWAP_ORDER,quantum-specific,True,False,Add an additional measurement into a neighboring classical bit.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,wrong distribution,medium,unit tests|statistical output tests|equivalence checks,bell_measure_0,
BELL_M020,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m020.py,C_measurement_bugs,wrong_measured_qubit,MEAS_WRONG_QUBIT,quantum-specific,True,False,Measure the wrong qubit 1 into classical bit 0.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,wrong distribution,medium,unit tests|statistical output tests|equivalence checks,bell_measure_0,
BELL_M021,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m021.py,C_measurement_bugs,measurement_omission,MEAS_DELETE,quantum-specific,True,False,Omit the measurement of qubit 1.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_measure_1,
BELL_M022,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m022.py,C_measurement_bugs,wrong_classical_bit,MEAS_WRONG_CBIT,quantum-specific,True,False,Measure qubit 1 into the wrong classical bit.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,wrong distribution,medium,unit tests|statistical output tests|equivalence checks,bell_measure_1,
BELL_M023,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m023.py,C_measurement_bugs,premature_measurement,MEAS_PREMATURE,quantum-specific,True,False,"Measure qubit 1 and immediately apply Z, collapsing the state early.",Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,degraded fidelity,medium,unit tests|statistical output tests|equivalence checks,bell_measure_1,
BELL_M024,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m024.py,C_measurement_bugs,mapping_reorder,MEAS_DUPLICATE,quantum-specific,True,False,Measure qubit 1 twice into the same classical bit.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,runtime failure,medium,unit tests|statistical output tests|equivalence checks,bell_measure_1,
BELL_M025,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m025.py,C_measurement_bugs,mapping_reorder,MEAS_SWAP_ORDER,quantum-specific,True,False,Add an additional measurement into a neighboring classical bit.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,wrong distribution,medium,unit tests|statistical output tests|equivalence checks,bell_measure_1,
BELL_M026,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m026.py,C_measurement_bugs,wrong_measured_qubit,MEAS_WRONG_QUBIT,quantum-specific,True,False,Measure the wrong qubit 0 into classical bit 1.,Measurement bugs often leave circuit construction intact while corrupting the observed classical evidence used by tests.,wrong distribution,medium,unit tests|statistical output tests|equivalence checks,bell_measure_1,
BELL_M027,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m027.py,J_research_mutation_operators,statement_deletion,GEN_DELETE_STATEMENT,classical-mutation-inspired,False,False,Delete the statement block at mutation site bell_post.,Statement deletion is a canonical research mutation operator and creates controlled omissions in quantum workflows.,silent semantic failure,medium,unit tests|equivalence checks,bell_post,
BELL_M028,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m028.py,J_research_mutation_operators,statement_replacement,GEN_ASSERT_TRAP,classical-mutation-inspired,False,False,Replace the statement block at mutation site bell_post with a runtime assertion trap.,Statement replacement is useful for separating parser-level validity from executable mutant handling.,runtime failure,easy,unit tests,bell_post,
BELL_M029,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m029.py,I_classical_bugs,copy_paste_bug,GEN_COPY_PASTE,classical-mutation-inspired,False,False,Copy-paste the default block at mutation site bell_post and repeat it twice.,Copy-paste style mutations are realistic in circuit construction and workflow orchestration code.,silent semantic failure,medium,unit tests|equivalence checks,bell_post,
BELL_M030,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m030.py,J_research_mutation_operators,statement_replacement,GEN_PASS_BLOCK,classical-mutation-inspired,False,False,Replace the statement block at mutation site bell_post with pass.,Replacing behavior with a no-op is a compact way to model missing logic without necessarily breaking syntax.,silent semantic failure,medium,unit tests|equivalence checks,bell_post,
BELL_M031,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m031.py,J_research_mutation_operators,statement_replacement,GEN_SYNTAX_BREAK,classical-mutation-inspired,False,False,Inject a syntax error at mutation site bell_post.,Mutation datasets benefit from including a small class of parse-failing mutants for tooling robustness experiments.,syntax failure,easy,unit tests,bell_post,
BELL_HO001,bell,bell,higher_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_ho001.py,A_gate_level_quantum_bugs+A_gate_level_quantum_bugs,single_qubit_gate_replacement+controlled_gate_replacement,QGR_H_TO_X+QCR_SWAP_CZ,quantum-specific+quantum-specific,True,False,Higher-order mutant combining: Replace the Hadamard on qubit 0 with X. AND Replace CX with CZ.,Higher-order mutants stress fault interactions and help evaluate robustness beyond one-bug-per-mutant cases.,silent semantic failure,hard,statistical output tests|equivalence checks,bell_h,bell_cx
BELL_HO002,bell,bell,higher_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_ho002.py,A_gate_level_quantum_bugs+C_measurement_bugs,single_qubit_gate_replacement+measurement_omission,QGR_H_TO_X+MEAS_DELETE,quantum-specific+quantum-specific,True,False,Higher-order mutant combining: Replace the Hadamard on qubit 0 with X. AND Omit the measurement of qubit 0.,Higher-order mutants stress fault interactions and help evaluate robustness beyond one-bug-per-mutant cases.,silent semantic failure,hard,statistical output tests|equivalence checks,bell_h,bell_measure_0
GHZ_M001,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m001.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_X,quantum-specific,True,False,Replace the Hadamard on qubit 0 with X.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M002,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m002.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_Y,quantum-specific,True,False,Replace the Hadamard on qubit 0 with Y.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M003,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m003.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_Z,quantum-specific,True,False,Replace the Hadamard on qubit 0 with Z.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M004,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m004.py,A_gate_level_quantum_bugs,gate_deletion,QGD_DELETE_H,quantum-specific,True,False,Delete the Hadamard on qubit 0.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M005,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m005.py,A_gate_level_quantum_bugs,extra_gate_insertion,QGI_DUPLICATE_H,quantum-specific,True,True,Apply two Hadamards in sequence on qubit 0.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",no visible effect / equivalent mutant candidate,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M006,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m006.py,A_gate_level_quantum_bugs,extra_gate_insertion,QGI_H_PLUS_Z,quantum-specific,True,False,Insert an extra Z gate immediately after the Hadamard on qubit 0.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M007,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m007.py,A_gate_level_quantum_bugs,wrong_qubit,QQI_WRONG_H_QUBIT,quantum-specific,True,False,Move the Hadamard from qubit 0 to qubit 1.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_h,
GHZ_M008,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m008.py,D_circuit_structure_bugs,loop_range_bug,LOOP_SHORT,classical-mutation-inspired,False,False,Stop the entanglement chain one step early.,Loop-bound mutations are a classic source of off-by-one errors and are especially harmful in repeated entanglement or measurement pipelines.,silent semantic failure,medium,unit tests|equivalence checks,ghz_range,
GHZ_M009,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m009.py,D_circuit_structure_bugs,loop_range_bug,LOOP_LONG,classical-mutation-inspired,False,False,Iterate over too many control qubits.,Loop-bound mutations are a classic source of off-by-one errors and are especially harmful in repeated entanglement or measurement pipelines.,silent semantic failure,medium,unit tests|equivalence checks,ghz_range,
GHZ_M010,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m010.py,D_circuit_structure_bugs,loop_range_bug,LOOP_SKIP_ZERO,classical-mutation-inspired,False,False,Start entanglement from qubit 1 instead of qubit 0.,Loop-bound mutations are a classic source of off-by-one errors and are especially harmful in repeated entanglement or measurement pipelines.,silent semantic failure,medium,unit tests|equivalence checks,ghz_range,
GHZ_M011,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m011.py,A_gate_level_quantum_bugs,extra_gate_insertion,GHZ_EXTRA_Z,quantum-specific,True,False,Insert an unintended Z gate before measurement.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,ghz_barrier,
GHZ_M012,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m012.py,D_circuit_structure_bugs,incorrect_subcircuit_composition,GHZ_DELETE_BARRIER,classical-mutation-inspired,False,True,Delete the barrier placeholder.,Barrier mutations can expose assumptions about subcircuit boundaries and compiler behavior.,no visible effect / equivalent mutant candidate,hard,unit tests,ghz_barrier,
GHZ_M013,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m013.py,J_research_mutation_operators,statement_deletion,GEN_DELETE_STATEMENT,classical-mutation-inspired,False,False,Delete the statement block at mutation site ghz_barrier.,Statement deletion is a canonical research mutation operator and creates controlled omissions in quantum workflows.,silent semantic failure,medium,unit tests|equivalence checks,ghz_barrier,
GHZ_M014,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m014.py,J_research_mutation_operators,statement_replacement,GEN_ASSERT_TRAP,classical-mutation-inspired,False,False,Replace the statement block at mutation site ghz_barrier with a runtime assertion trap.,Statement replacement is useful for separating parser-level validity from executable mutant handling.,runtime failure,easy,unit tests,ghz_barrier,
GHZ_M015,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m015.py,I_classical_bugs,copy_paste_bug,GEN_COPY_PASTE,classical-mutation-inspired,False,False,Copy-paste the default block at mutation site ghz_barrier and repeat it twice.,Copy-paste style mutations are realistic in circuit construction and workflow orchestration code.,silent semantic failure,medium,unit tests|equivalence checks,ghz_barrier,
GHZ_M016,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m016.py,J_research_mutation_operators,statement_replacement,GEN_PASS_BLOCK,classical-mutation-inspired,False,False,Replace the statement block at mutation site ghz_barrier with pass.,Replacing behavior with a no-op is a compact way to model missing logic without necessarily breaking syntax.,silent semantic failure,medium,unit tests|equivalence checks,ghz_barrier,
GHZ_M017,ghz,ghz,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_m017.py,J_research_mutation_operators,statement_replacement,GEN_SYNTAX_BREAK,classical-mutation-inspired,False,False,Inject a syntax error at mutation site ghz_barrier.,Mutation datasets benefit from including a small class of parse-failing mutants for tooling robustness experiments.,syntax failure,easy,unit tests,ghz_barrier,
GHZ_HO001,ghz,ghz,higher_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_ho001.py,A_gate_level_quantum_bugs+D_circuit_structure_bugs,single_qubit_gate_replacement+loop_range_bug,QGR_H_TO_X+LOOP_SHORT,quantum-specific+classical-mutation-inspired,True,False,Higher-order mutant combining: Replace the Hadamard on qubit 0 with X. AND Stop the entanglement chain one step early.,Higher-order mutants stress fault interactions and help evaluate robustness beyond one-bug-per-mutant cases.,silent semantic failure,hard,statistical output tests|equivalence checks,ghz_h,ghz_range
GHZ_HO002,ghz,ghz,higher_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/ghz.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/ghz/ghz_ho002.py,A_gate_level_quantum_bugs+A_gate_level_quantum_bugs,single_qubit_gate_replacement+extra_gate_insertion,QGR_H_TO_X+GHZ_EXTRA_Z,quantum-specific+quantum-specific,True,False,Higher-order mutant combining: Replace the Hadamard on qubit 0 with X. AND Insert an unintended Z gate before measurement.,Higher-order mutants stress fault interactions and help evaluate robustness beyond one-bug-per-mutant cases.,silent semantic failure,hard,statistical output tests|equivalence checks,ghz_h,ghz_barrier
TELEPORTATION_M001,teleportation,teleportation,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/teleportation.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/teleportation/teleportation_m001.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_X,quantum-specific,True,False,Replace the Hadamard on qubit 1 with X.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,tele_bell_h,
TELEPORTATION_M002,teleportation,teleportation,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/teleportation.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/teleportation/teleportation_m002.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_Y,quantum-specific,True,False,Replace the Hadamard on qubit 1 with Y.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,tele_bell_h,
TELEPORTATION_M003,teleportation,teleportation,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/teleportation.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/teleportation/teleportation_m003.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_Z,quantum-specific,True,False,Replace the Hadamard on qubit 1 with Z.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,tele_bell_h,
TELEPORTATION_M004,teleportation,teleportation,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/teleportation.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/teleportation/teleportation_m004.py,A_gate_level_quantum_bugs,gate_deletion,QGD_DELETE_H,quantum-specific,True,False,Delete the Hadamard on qubit 1.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,tele_bell_h,
TELEPORTATION_M005,teleportation,teleportation,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/teleportation.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/teleportation/teleportation_m005.py,A_gate_level_quantum_bugs,extra_gate_insertion,QGI_DUPLICATE_H,quantum-specific,True,True,Apply two Hadamards in sequence on qubit 1.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",no visible effect / equivalent mutant candidate,medium,unit tests|statistical output tests|equivalence checks,tele_bell_h,
